ipw_p2,ipw_p1,ipw_p0,pinSaturation,minPhotonSetting,ipwChi2,pinChi2,pin_p0,pin_p1,maxPhotonOutput,PINrms,channel
0.18242588033,-2741.52395942,10299846.5733,3169706.18093,-163.499899464,0.670347249427,0.0151571287029,-55183.1606674,26.8355662331,3169706.18093,1831.14925,18
0.110895453685,-1719.24221193,6663855.65057,2175501.63172,386.39852406,0.269142871547,0.0101618398086,-52705.2326599,19.7183331754,2175501.63172,1824.9325,19
0.0979514321459,-1771.24380162,8007894.41231,2210447.87247,598.000056025,0.204080503957,0.00528431076973,-47511.7882779,20.4919195161,2245664.63071,1834.64182,20
0.250246940012,-3456.70787436,11937468.269,3550673.9787,429.870007649,0.0875917956692,0.0130126342448,-50503.2110728,27.3368344465,3550673.9787,1810.14126,21
0.129245361883,-1767.17258708,6041221.3567,2221628.16228,581.083359862,0.114335634312,0.00790061950661,-51405.2308021,22.1826420442,2221628.16228,1812.78209,22
0.0731763505281,-1430.85506714,6984357.24755,2618454.22298,-10205.2319069,0.0453203545712,0.0101219268574,-49690.6133674,19.0099155094,2618454.22298,1828.19972,23
0.107429054384,-1633.95321724,6213512.89177,2119372.55213,568.145536095,0.0411815391756,0.0187516966305,-78357.5200333,22.120497693,2119372.55213,1798.52518,24
0.136872698898,-1838.32093215,6173085.31364,2007546.56113,517.890003708,0.232812895451,0.0212261659843,-31776.6245916,18.0384567274,2007546.56113,1810.85398,25
0.145059087964,-1690.00364613,4922783.77421,1380820.22427,458.044698106,0.0705421994841,0.0223312106739,-20222.1614493,12.7105859319,1380820.22427,1799.09601,26
0.0752865628584,-1384.59125992,6366866.29609,2031837.05208,879.842894356,0.0435310590493,0.0272321931325,-35380.3296161,13.9664855631,2031837.05208,1813.25495,27
0.166308773137,-2760.12590192,11452680.7617,3026983.464,646.616537571,0.101337857212,0.0103523200479,-63756.384971,29.9772449563,3078505.49883,1800.65087,28
0.0142692383247,-308.114317232,1663311.79965,865791.217649,40.9521938849,0.0257620382402,0.0236474768885,-11305.749267,5.53996984706,865791.217649,1811.11827,29
0.153340139135,-2725.38831117,12110410.7205,3349963.1992,500.216019705,0.305235964337,0.0116937649333,-45761.2302544,23.9168649912,3349963.1992,1826.71688,30
0.0912524735667,-1231.5775282,4155851.43363,1329702.31617,393.645235231,0.0385672284364,0.0319452402159,-29514.1935162,10.9477068121,1329702.31617,1809.74102,31
0.0543914882561,-1260.73929279,7306426.12891,2273709.37654,762.98502792,0.0516716219652,0.0153085345099,-32874.8798486,10.4088753344,2273709.37654,1779.97018,32
0.181552599041,-1949.57720512,5234508.74129,2296746.24987,693.171043942,0.153745289569,0.0440796887735,-130171.752848,31.3358079485,2296746.24987,1817.56696,33
0.199208219007,-2605.45319662,8519683.03432,2789018.79763,473.343055768,0.158698826474,0.0071256723476,-78236.2047953,27.4824741589,2789018.79763,1827.37132,34
0.0918674749262,-1434.28036782,5598769.43912,1800260.8871,596.159723978,0.055538353837,0.0170821123198,-42681.2220729,14.163476551,1800260.8871,1814.39432,35
0.0712268610672,-1300.92120126,5941017.76436,2106476.78558,857.175578157,0.0389097798019,0.00751933475377,-49195.2174867,19.772195785,2106476.78558,1842.89179,36
0.0966008176488,-1790.56220322,8298180.06027,2648847.85236,856.38938938,0.086936234577,0.00568929248851,-36754.2976961,20.9861554052,2648847.85236,1800.32694,37
0.268765192152,-3450.2896926,11073928.091,2913613.54392,601.530875955,0.0969842658789,0.0086446524911,-44601.2578294,24.3528396168,2913613.54392,1799.86169,38
0.174419074388,-2831.13025359,11489088.058,3257014.05041,524.463464046,0.0842806965344,0.00767498991814,-73337.7899523,29.4313572789,3257014.05041,1814.84249,39
0.134625782786,-2315.94414782,9960731.72591,3014843.16702,534.680387035,0.0550750901608,0.0171711037165,-75640.539489,23.916598669,3014843.16702,1786.23728,40
0.107181313132,-2027.53796472,9589398.50097,2782793.59643,716.29912765,0.0697376607678,0.00664372840252,-72785.0466659,26.0454280406,2782793.59643,1841.17229,41
0.171797216307,-2490.93215524,9029549.47131,3034150.52791,382.504324408,0.168044002906,0.00788035058635,-69498.5829853,26.5334657944,3034150.52791,1810.25569,42
0.216281225897,-2865.88002242,9494117.73119,3216246.7352,380.735699208,0.369471916558,0.0129369182396,-130559.262315,41.7956974457,3216246.7352,1806.24887,43
0.194862040828,-2940.80008738,11095810.2257,3561296.73856,389.694840631,0.134318831148,0.00834586897292,-71622.1975847,33.1105933857,3561296.73856,1815.86788,44
0.0979238215238,-1440.65939407,5299232.90397,2010858.75085,472.455706558,0.0671215965752,0.0046361508222,-31717.9774042,16.5653257755,2010858.75085,1833.07552,45
0.0966924834747,-1417.18228308,5192926.22374,1638451.84185,160.583379744,0.202961754711,0.00824387792634,-20064.6641567,13.0547627484,1638451.84185,1810.84316,46
0.0784546977623,-1378.80386195,6058439.48439,1960169.71195,484.562806685,0.0272552536735,0.00807036818407,-24829.8875551,12.9885912106,1960169.71195,1823.74948,47
0.190685093786,-2204.4677553,6371856.41641,1970812.26577,516.649257617,2.2128339727,1.02433181869,-81238.320241,23.4194153439,1970812.26577,1795.36648,48
0.204649432424,-2891.47171597,10213514.3685,2997300.76777,184.449628284,0.404382876737,0.00735418228642,-25091.6173185,21.8974856304,2997300.76777,1800.24683,49
0.110998678642,-2110.88216774,10036389.8767,2737161.91494,631.837470252,0.105625171089,0.0209968917377,-50547.126628,19.132556477,2737161.91494,1825.62512,50
0.228282958944,-3412.88392971,12756149.5466,3843591.63339,295.17666694,0.269093049619,0.0402463420629,-72009.3891784,26.8424791713,3843591.63339,1795.78272,51
0.115835181085,-2170.03301779,10163810.1192,3504504.56122,569.439269129,0.0641905591618,0.00362287530853,-56701.5014536,27.1482974181,3504504.56122,1830.20411,52
0.0918662097454,-1353.43785667,4985187.84111,1591427.985,237.343674058,0.195898480416,0.0171944886393,-20016.3503048,11.0131034677,1591427.985,1798.66953,53
0.0548497101532,-943.393756844,4056783.56886,1252189.15912,281.820873921,0.0316667500321,0.0231982435236,-16592.5317302,9.26698535706,1252189.15912,1830.01932,54
0.137240413147,-2320.32182212,9807840.34298,2618955.67003,427.870998107,0.0856239548686,0.00613204095546,-42158.048751,19.22255851,2618955.67003,1786.93416,55
0.111939208839,-1655.08136892,6118355.22659,2258590.08821,538.319222093,0.119339051174,0.0178922744422,-63955.6687672,19.4605342247,2258590.08821,1832.43878,56
0.161477652646,-2072.27814364,6648683.331,2130199.84961,183.315326933,0.184760334729,0.142281105776,-55687.8419913,17.5403207786,2130199.84961,0.0,57
